dataset,M,recall@1,1_recall@1,qps,build_time
coco-t2i,4,0.8331,0.16690000000000005,17206.843347436123,5.156024217605591
coco-t2i,8,0.949,0.051000000000000045,11076.24866145288,7.616978645324707
coco-t2i,12,0.9677,0.032299999999999995,8231.04925515777,8.679222345352173
coco-t2i,24,0.9717,0.028299999999999992,7013.791284766879,10.146689653396606
coco-t2i,48,0.9738,0.0262,6817.106739637254,10.694061756134033
coco-i2i,4,0.9623,0.037699999999999956,14691.704972434909,5.1161839962005615
coco-i2i,8,0.9866,0.013399999999999967,10048.131228569313,7.56619119644165
coco-i2i,12,0.9891,0.01090000000000002,10640.350999585224,8.6818208694458
coco-i2i,24,0.9895,0.010499999999999954,7657.218093677101,10.248511552810669
coco-i2i,48,0.9895,0.010499999999999954,7254.576892855036,10.786690473556519
lastfm,4,0.97686,0.02314000000000005,161252.65082604275,3.0042378902435303
lastfm,8,0.98572,0.01427999999999996,152616.8212736941,3.4362144470214844
lastfm,12,0.98682,0.01317999999999997,138420.48395475026,3.4638736248016357
lastfm,24,0.99106,0.008939999999999948,112734.53076644786,3.769657850265503
lastfm,48,0.99128,0.00871999999999995,143101.66237006124,4.228554964065552
mnist,4,0.9957,0.0042999999999999705,18143.50149389702,2.706252336502075
mnist,8,0.9993,0.0007000000000000339,12660.631820556853,4.121486663818359
mnist,12,0.9996,0.00039999999999995595,9493.763746455657,4.651821613311768
mnist,24,0.9998,0.00019999999999997797,8237.466956286064,5.191448450088501
mnist,48,0.9996,0.00039999999999995595,8111.402443764826,5.432201385498047
